,Date,Close-BTCUSDT,Close-ETHUSDT,Close-BNBUSDT,Close-ADAUSDT,Close-XRPUSDT,Close-DOGEUSDT,Close-DOTUSDT,Close-UNIUSDT,Close-BCHUSDT,Close-SOLUSDT,Close-LTCUSDT,Close-LINKUSDT,Close-MATICUSDT,Close-THETAUSDT,Close-ETCUSDT,Close-XLMUSDT,Close-ICPUSDT,Close-VETUSDT,Close-FILUSDT,Close-TRXUSDT,Close-EOSUSDT,Close-AAVEUSDT,Close-XMRUSDT,Close-LUNAUSDT,Close-SHIBUSDT,Close-ATOMUSDT,Close-ALGOUSDT,Close-FTTUSDT,Close-CAKEUSDT,Close-MKRUSDT,Close-NEOUSDT
0,2017-08-17 03:00:00,4285.08,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-08-18 03:00:00,4108.37,293.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017-08-19 03:00:00,4139.98,290.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-08-20 03:00:00,4086.29,299.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017-08-21 03:00:00,4016.0,323.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-08-22 03:00:00,4040.0,309.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-08-23 03:00:00,4114.01,315.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017-08-24 03:00:00,4316.01,323.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2017-08-25 03:00:00,4280.68,327.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2017-08-26 03:00:00,4337.44,330.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2017-08-27 03:00:00,4310.01,348.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2017-08-28 03:00:00,4386.69,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2017-08-29 03:00:00,4587.48,374.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2017-08-30 03:00:00,4555.14,385.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2017-08-31 03:00:00,4724.89,384.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2017-09-01 03:00:00,4834.91,388.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2017-09-02 03:00:00,4472.14,343.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2017-09-03 03:00:00,4509.08,341.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2017-09-04 03:00:00,4100.11,283.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
